Samples,Amplitude(mV)
1224,0.26748
1225,0.26748
1226,0.26748
1227,0.26748
1228,0.270703
1229,0.273926
1230,0.270703
1231,0.273926
1232,0.270703
1233,0.273926
1234,0.273926
1235,0.273926
1236,0.273926
1237,0.273926
1238,0.273926
1239,0.273926
1240,0.273926
1241,0.273926
1242,0.273926
1243,0.273926
1244,0.273926
1245,0.273926
1246,0.277148
1247,0.277148
1248,0.273926
1249,0.273926
1250,0.270703
1251,0.270703
1252,0.270703
1253,0.270703
1254,0.26748
1255,0.264258
1256,0.264258
1257,0.26748
1258,0.26748
1259,0.261035
1260,0.261035
1261,0.261035
1262,0.261035
1263,0.261035
1264,0.251367
1265,0.251367
1266,0.251367
1267,0.248145
1268,0.248145
1269,0.248145
1270,0.248145
1271,0.248145
1272,0.244922
1273,0.248145
1274,0.244922
1275,0.244922
1276,0.241699
1277,0.244922
1278,0.244922
1279,0.244922
1280,0.244922
1281,0.241699
1282,0.241699
1283,0.241699
1284,0.241699
1285,0.238477
1286,0.241699
1287,0.241699
1288,0.241699
1289,0.241699
1290,0.241699
1291,0.241699
1292,0.241699
1293,0.241699
1294,0.238477
1295,0.241699
1296,0.238477
1297,0.238477
1298,0.238477
1299,0.235254
1300,0.235254
1301,0.235254
1302,0.235254
1303,0.235254
1304,0.232031
1305,0.232031
1306,0.228809
1307,0.228809
1308,0.232031
1309,0.228809
1310,0.228809
1311,0.225586
1312,0.225586
1313,0.225586
1314,0.225586
1315,0.222363
1316,0.225586
1317,0.222363
1318,0.222363
1319,0.222363
1320,0.215918
1321,0.215918
1322,0.219141
1323,0.219141
1324,0.215918
1325,0.215918
1326,0.212695
1327,0.209473
1328,0.209473
1329,0.20625
1330,0.209473
1331,0.209473
1332,0.203027
1333,0.203027
1334,0.199805
1335,0.199805
1336,0.196582
1337,0.196582
1338,0.196582
1339,0.193359
1340,0.190137
1341,0.190137
1342,0.190137
1343,0.183691
1344,0.186914
1345,0.186914
1346,0.183691
1347,0.183691
1348,0.180469
1349,0.177246
1350,0.177246
1351,0.177246
1352,0.177246
1353,0.174023
1354,0.174023
1355,0.167578
1356,0.167578
1357,0.164355
1358,0.164355
1359,0.164355
1360,0.161133
1361,0.15791
1362,0.15791
1363,0.15791
1364,0.154687
1365,0.15791
1366,0.154687
1367,0.154687
1368,0.15791
1369,0.151465
1370,0.151465
1371,0.151465
1372,0.151465
1373,0.148242
1374,0.148242
1375,0.14502
1376,0.141797
1377,0.138574
1378,0.138574
1379,0.138574
1380,0.138574
1381,0.135352
1382,0.132129
1383,0.132129
1384,0.128906
1385,0.128906
1386,0.128906
1387,0.128906
1388,0.128906
1389,0.122461
1390,0.122461
1391,0.119238
1392,0.125684
1393,0.122461
1394,0.119238
1395,0.122461
1396,0.119238
1397,0.119238
1398,0.112793
1399,0.116016
1400,0.10957
1401,0.112793
1402,0.10957
1403,0.10957
1404,0.10957
1405,0.103125
1406,0.106348
1407,0.103125
1408,0.103125
1409,0.0999023
1410,0.103125
1411,0.106348
1412,0.0999023
1413,0.106348
1414,0.103125
1415,0.106348
1416,0.10957
1417,0.112793
1418,0.119238
1419,0.128906
1420,0.135352
1421,0.14502
1422,0.154687
1423,0.164355
1424,0.183691
1425,0.193359
1426,0.203027
1427,0.209473
1428,0.215918
1429,0.222363
1430,0.225586
1431,0.232031
1432,0.238477
1433,0.241699
1434,0.241699
1435,0.248145
1436,0.248145
1437,0.25459
1438,0.25459
1439,0.25459
1440,0.25459
1441,0.25459
1442,0.257812
1443,0.25459
1444,0.257812
1445,0.261035
1446,0.264258
1447,0.264258
1448,0.261035
1449,0.264258
1450,0.261035
1451,0.264258
1452,0.264258
1453,0.26748
1454,0.26748
1455,0.26748
1456,0.270703
1457,0.270703
1458,0.270703
1459,0.270703
1460,0.270703
1461,0.270703
1462,0.26748
1463,0.270703
1464,0.26748
1465,0.26748
1466,0.264258
1467,0.264258
1468,0.264258
1469,0.26748
1470,0.264258
1471,0.26748
1472,0.26748
1473,0.26748
1474,0.264258
1475,0.26748
1476,0.264258
1477,0.261035
1478,0.261035
1479,0.25459
1480,0.257812
1481,0.251367
1482,0.248145
1483,0.248145
1484,0.248145
1485,0.248145
1486,0.248145
1487,0.244922
1488,0.241699
1489,0.244922
1490,0.244922
1491,0.244922
1492,0.241699
1493,0.241699
1494,0.238477
1495,0.238477
1496,0.241699
1497,0.235254
1498,0.235254
1499,0.235254
1500,0.235254
1501,0.238477
1502,0.235254
1503,0.238477
1504,0.235254
1505,0.235254
1506,0.235254
1507,0.232031
1508,0.235254
1509,0.235254
1510,0.235254
1511,0.235254
1512,0.235254
1513,0.235254
1514,0.235254
1515,0.235254
1516,0.235254
1517,0.235254
1518,0.235254
1519,0.235254
1520,0.232031
1521,0.232031
1522,0.235254
1523,0.232031
1524,0.228809
1525,0.228809
1526,0.225586
1527,0.228809
1528,0.225586
1529,0.228809
1530,0.228809
1531,0.228809
1532,0.228809
1533,0.222363
1534,0.225586
1535,0.225586
1536,0.222363
1537,0.222363
1538,0.219141
1539,0.219141
1540,0.215918
1541,0.215918
1542,0.215918
1543,0.212695
1544,0.209473
1545,0.20625
1546,0.20625
1547,0.209473
1548,0.203027
1549,0.20625
1550,0.199805
1551,0.199805
1552,0.199805
1553,0.196582
1554,0.199805
1555,0.196582
1556,0.196582
1557,0.196582
1558,0.196582
1559,0.196582
1560,0.190137
1561,0.186914
1562,0.183691
1563,0.190137
1564,0.190137
1565,0.186914
1566,0.180469
1567,0.180469
1568,0.177246
1569,0.177246
1570,0.174023
1571,0.174023
1572,0.174023
1573,0.170801
1574,0.167578
1575,0.167578
1576,0.167578
1577,0.164355
1578,0.164355
1579,0.15791
1580,0.15791
1581,0.154687
1582,0.154687
1583,0.154687
1584,0.154687
1585,0.154687
1586,0.151465
1587,0.151465
1588,0.148242
1589,0.148242
1590,0.148242
1591,0.14502
1592,0.151465
1593,0.14502
1594,0.141797
1595,0.138574
1596,0.135352
1597,0.135352
1598,0.135352
1599,0.135352
1600,0.132129
1601,0.132129
1602,0.132129
1603,0.132129
1604,0.132129
1605,0.132129
1606,0.128906
1607,0.125684
1608,0.125684
1609,0.125684
1610,0.125684
1611,0.122461
1612,0.122461
1613,0.119238
1614,0.119238
1615,0.116016
1616,0.119238
1617,0.112793
1618,0.10957
1619,0.10957
1620,0.10957
1621,0.112793
1622,0.112793
1623,0.112793
1624,0.106348
1625,0.106348
1626,0.106348
1627,0.0999023
1628,0.103125
1629,0.0999023
1630,0.0999023
1631,0.0999023
1632,0.103125
1633,0.106348
1634,0.10957
1635,0.116016
1636,0.122461
1637,0.132129
1638,0.141797
1639,0.14502
1640,0.154687
1641,0.161133
1642,0.170801
1643,0.180469
1644,0.193359
1645,0.203027
1646,0.209473
1647,0.215918
1648,0.222363
1649,0.225586
